WireLoad  Gates     Cap       Area      Delay     
origin    1807      1.0       2301      288.34    
op1       1860      1.0       2348      274.05    
op2       1870      1.0       2360      278.17    
op3       1992      1.0       2502      288.84    
op4       1871      1.0       2363      274.68    
op5       1958      1.0       2467      291.47    
op6       1872      1.0       2362      278.50    
op7       1872      1.0       2362      278.86    
op8       1894      1.0       2390      285.45    
op9       2116      1.0       2644      293.53    
op10      1771      1.0       2248      275.50    
op11      2053      1.0       2568      292.20    
op12      1875      1.0       2368      278.99    
op13      2011      1.0       2522      290.25    
op14      2058      1.0       2569      292.30    
op15      2061      1.0       2582      291.04    
op16      1968      1.0       2473      302.80    
op17      1901      1.0       2400      281.11    
op18      2065      1.0       2581      289.88    
op19      1863      1.0       2353      282.65    
op20      1873      1.0       2366      280.14    
op21      1870      1.0       2361      298.24    
op22      1875      1.0       2366      281.80    
op23      2032      1.0       2548      287.46    
op24      1965      1.0       2470      287.07    
op25      1880      1.0       2372      280.23    
op26      2054      1.0       2568      288.70    
op27      1950      1.0       2451      283.29    
op28      1879      1.0       2372      280.72    
op29      1872      1.0       2364      278.77    
op30      1881      1.0       2375      281.12    
