WireLoad  Gates     Cap       Area      Delay     
origin    299       0.8       432       1516.31   
op1       623       0.6       665       1170.61   
op2       372       0.7       496       1352.35   
op3       592       0.6       616       1088.95   
op4       545       0.6       598       1012.24   
op5       364       0.7       477       1307.65   
op6       432       0.7       523       1218.89   
op7       384       0.7       491       1251.55   
op8       562       0.6       613       779.62    
op9       543       0.6       576       1139.11   
op10      406       0.7       516       1239.24   
op11      445       0.7       561       1209.74   
op12      389       0.7       503       1271.47   
op14      425       0.7       585       1033.08   
op16      592       0.7       654       1085.10   
op17      588       0.6       615       1154.45   
op18      430       0.6       513       1211.29   
op19      492       0.7       602       1059.32   
op20      418       0.7       508       1212.38   
op21      360       0.7       494       1274.81   
op22      432       0.7       529       1271.75   
op23      436       0.7       537       1273.74   
op24      452       0.7       568       1247.79   
op25      637       0.6       663       756.68    
op26      521       0.6       565       1156.87   
op27      556       0.6       589       1097.81   
op28      581       0.6       611       766.81    
op29      534       0.6       579       1091.20   
op30      484       0.7       557       808.71    
